id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity_0_100,release_decade,mood_tags,instrumentalness,lyrical_density,explicitness
1,Slide,Deochii,R&B,smooth,0.62,90,0.75,0.68,0.55,74,2020,nostalgic|sultry|night-drive,0.12,0.64,0.22
2,Body,Don Toliver,Hip-Hop,chill,0.71,95,0.66,0.78,0.42,81,2020,euphoric|wavy|late-night,0.08,0.58,0.48
3,Talk,DJ Khalid,Pop,romantic,0.63,88,0.8,0.74,0.47,69,2010,romantic|warm|uplifting,0.06,0.62,0.15
4,Passionfruit,Drake,Pop,sad,0.55,112,0.65,0.64,0.5,88,2010,nostalgic|moody|introspective,0.24,0.67,0.36
5,Evil Jordan,Playboi Carti,Rap,intense,0.87,130,0.42,0.56,0.28,79,2020,aggressive|chaotic|adrenaline,0.02,0.51,0.83
6,Yukon,Justin Bieber,Pop,dreamy,0.58,100,0.72,0.69,0.49,76,2020,dreamy|floaty|euphoric,0.14,0.57,0.19
7,12 to 12,Sombr,Electronic,vibey,0.77,128,0.78,0.82,0.35,71,2020,euphoric|club|high-energy,0.03,0.46,0.11
8,Sincerity,Sailor,Indie,peaceful,0.48,76,0.85,0.6,0.77,63,2020,serene|acoustic|healing,0.44,0.71,0.02
9,Cavier,Jaydon,R&B,luxurious,0.65,96,0.73,0.71,0.46,67,2020,luxury|confident|night-drive,0.09,0.66,0.27
10,Greedy,Ariana Grande,Pop,confident,0.79,120,0.68,0.75,0.41,92,2010,euphoric|bold|party,0.05,0.69,0.08
